"Ordre";"Anyo";"IdMaterial";"NomMaterial";"Quantitat";"Unitats"
"638";"1996";"25";"Olis vegetals";"";"Tones"
"639";"2004";"29";"Càpsules de cafè";"";"Tones"
"640";"2018";"14";"Runes";"3268";"Tones"
"641";"1990";"16";"Piles";"";"Tones"
"642";"2013";"44";"Cd i DVD";"1";"Tones"
"643";"2002";"31";"RAEE A3: Televisors i monitors";"";"Tones"
"644";"2001";"7";"Resta";"83575";"Tones"
"645";"2001";"17";"Medicaments i cosmètics";"";"Tones"
"646";"1995";"19";"Pneumàtics";"";"Tones"
"647";"2009";"21";"Dissolvents";"7";"Tones"
"648";"2006";"10";"Tèxtil";"184";"Tones"
"649";"2010";"22";"RAEE A1: Aparells de fred, frigorífics...";"69";"Tones"
"650";"2004";"34";"Àcids";"";"Tones"
"651";"2001";"35";"Bases";"";"Tones"
"652";"1995";"28";"Voluminosos";"";"Tones"
"653";"2016";"9";"Fracció vegetal";"867";"Tones"
"654";"2014";"19";"Pneumàtics";"15";"Tones"
"655";"2005";"30";"Coure";"";"Tones"
"656";"2003";"40";"Medicaments";"8";"Tones"
"657";"2002";"16";"Piles";"32";"Tones"
"658";"2017";"13";"Fusta";"2279";"Tones"
"659";"2008";"25";"Olis vegetals";"21";"Tones"
"660";"1999";"2";"Paper";"2931";"Tones"
"661";"1996";"3";"Envasos";"";"Tones"
"662";"1990";"9";"Fracció vegetal";"";"Tones"
"663";"2009";"27";"Altres residus especials";"1";"Tones"
"664";"2008";"3";"Envasos";"4104";"Tones"
"665";"2017";"30";"Coure";"0";"Tones"
"666";"2014";"31";"RAEE A3: Televisors i monitors";"56";"Tones"
"667";"2013";"7";"Resta";"56172";"Tones"
"668";"1994";"10";"Tèxtil";"";"Tones"
"669";"2008";"12";"Ferralla";"463";"Tones"
"670";"2005";"13";"Fusta";"1574";"Tones"
"671";"2016";"16";"Piles";"0";"Tones"
"672";"2008";"32";"RAEE A2: Grans electrodomèstics assecadores, rentadores...";"100";"Tones"
"673";"2006";"36";"Aerosols";"";"Tones"
"674";"2015";"43";"Plàstic rígid";"33";"Tones"
"675";"2010";"11";"Vidre Pla";"379";"Tones"
"676";"2009";"38";"Comburents";"0";"Tones"
"677";"1987";"10";"Tèxtil";"";"Tones"
"678";"1997";"16";"Piles";"";"Tones"
"679";"2011";"34";"Àcids";"0";"Tones"
"680";"2014";"41";"Porexpan";"1";"Tones"
"681";"2005";"26";"Olis minerals";"12";"Tones"
"682";"2002";"27";"Altres residus especials";"3";"Tones"
"683";"2014";"28";"Voluminosos";"4160";"Tones"
"684";"2002";"1";"Vidre";"2013";"Tones"
"685";"2013";"4";"Materia orgànica";"7069";"Tones"
"686";"2011";"14";"Runes";"4565";"Tones"
"687";"2008";"15";"Tòners";"0";"Tones"
"691";"2011";"37";"Reactius de laboratori";"2";"Tones"
"692";"2012";"37";"Reactius de laboratori";"1";"Tones"
"693";"2014";"37";"Reactius de laboratori";"0";"Tones"
"694";"2017";"37";"Reactius de laboratori";"0";"Tones"
"695";"1995";"38";"Comburents";"";"Tones"
"696";"2001";"38";"Comburents";"";"Tones"
"697";"2002";"38";"Comburents";"";"Tones"
"698";"2003";"38";"Comburents";"";"Tones"
"699";"2004";"38";"Comburents";"";"Tones"
"700";"2006";"38";"Comburents";"";"Tones"
"701";"2007";"38";"Comburents";"";"Tones"
"702";"2008";"38";"Comburents";"0";"Tones"
"703";"2009";"38";"Comburents";"0";"Tones"
"704";"2010";"38";"Comburents";"0";"Tones"
"705";"2011";"38";"Comburents";"0";"Tones"
"706";"2012";"38";"Comburents";"0";"Tones"
"707";"2017";"38";"Comburents";"6";"Tones"
"708";"1995";"39";"Sòlids i Pastosos";"";"Tones"
"709";"2001";"39";"Sòlids i Pastosos";"";"Tones"
"710";"2002";"39";"Sòlids i Pastosos";"";"Tones"
"711";"2003";"39";"Sòlids i Pastosos";"";"Tones"
"712";"2004";"39";"Sòlids i Pastosos";"";"Tones"
"713";"2006";"39";"Sòlids i Pastosos";"";"Tones"
